n,r,m
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced piezoelectric, ferroelectric and dielectric response in (Na0.5Bi0.5) TiO3-based piezoceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2025.178523})",[:USED_PRECURSOR],(:Precursor {name: Bi2O3})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced piezoelectric, ferroelectric and dielectric response in (Na0.5Bi0.5) TiO3-based piezoceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2025.178523})",[:USED_PRECURSOR],(:Precursor {name: ZrO2})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced piezoelectric, ferroelectric and dielectric response in (Na0.5Bi0.5) TiO3-based piezoceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2025.178523})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Radiant Precision Premier II loop tracer})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced piezoelectric, ferroelectric and dielectric response in (Na0.5Bi0.5) TiO3-based piezoceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2025.178523})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: MTI strain measurement setup})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced piezoelectric, ferroelectric and dielectric response in (Na0.5Bi0.5) TiO3-based piezoceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2025.178523})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: XRD})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced piezoelectric, ferroelectric and dielectric response in (Na0.5Bi0.5) TiO3-based piezoceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2025.178523})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Impedance analyzer})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced piezoelectric, ferroelectric and dielectric response in (Na0.5Bi0.5) TiO3-based piezoceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2025.178523})",[:HAS_KEYWORD],(:Keyword {name: Piezoelectric properties})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced piezoelectric, ferroelectric and dielectric response in (Na0.5Bi0.5) TiO3-based piezoceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2025.178523})",[:HAS_KEYWORD],(:Keyword {name: Ferroelectric ceramics})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced piezoelectric, ferroelectric and dielectric response in (Na0.5Bi0.5) TiO3-based piezoceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2025.178523})",[:HAS_KEYWORD],(:Keyword {name: Bismuth})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced piezoelectric, ferroelectric and dielectric response in (Na0.5Bi0.5) TiO3-based piezoceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2025.178523})",[:HAS_KEYWORD],(:Keyword {name: Dielectric constant})
"(:Author {name: Ekta Kumari,affiliation_id: 60104342})",[:AFFILIATED_WITH],"(:Affiliation {country: India,name: Indian Institute of Technology Patna,affiliation_id: 60104342})"
"(:Author {name: Ekta Kumari,affiliation_id: 60104342})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced piezoelectric, ferroelectric and dielectric response in (Na0.5Bi0.5) TiO3-based piezoceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2025.178523})"
"(:Author {name: Monika,affiliation_id: 60014097})",[:AFFILIATED_WITH],"(:Affiliation {country: India,name: Indian Institute of Science,affiliation_id: 60014097})"
"(:Author {name: Monika,affiliation_id: 60014097})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced piezoelectric, ferroelectric and dielectric response in (Na0.5Bi0.5) TiO3-based piezoceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2025.178523})"
"(:Author {name: Ajay Kumar Kalyani,affiliation_id: 60104342})",[:AFFILIATED_WITH],"(:Affiliation {country: India,name: Indian Institute of Technology Patna,affiliation_id: 60104342})"
"(:Author {name: Ajay Kumar Kalyani,affiliation_id: 60104342})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced piezoelectric, ferroelectric and dielectric response in (Na0.5Bi0.5) TiO3-based piezoceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2025.178523})"
"(:Composition {property_unit: pC/N,composition: Ba(Ti0.98Zr0.02)O3,property_value: 350})",[:BELONGS_TO],(:Family {name: BNT-BT})
"(:Composition {property_unit: pC/N,composition: 0.88(Na0.5Bi0.5)TiO3 - 0.12Ba(Ti0.98Zr0.02)O3,property_value: 175})",[:BELONGS_TO],(:Family {name: BNT-BT})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})",[:USES_METHOD],(:Method {name: solid-state reaction})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})",[:USED_SYNTHESIS_STEPS],(:Step {steps: No steps available})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})",[:BELONGS_TO_FAMILY],(:Family {name: BaTiO3})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: 0.999(0.7BiFeO3-0.3BaTiO3)-0.001(Bi0.5Na0.5)TiO3-5 mol%Bi2O3,property_value: 202})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})",[:USED_PRECURSOR],(:Precursor {name: 0.7BiFeO3-0.3BaTiO3})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})",[:USED_PRECURSOR],(:Precursor {name: Bi2O3})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})",[:USED_PRECURSOR],(:Precursor {name: (Bi0.5Na0.5)TiO3})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: XRD})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: SEM})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Raman spectroscopy})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: PFM})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})",[:HAS_KEYWORD],(:Keyword {name: Phase transition temperature})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})",[:HAS_KEYWORD],(:Keyword {name: Piezoelectric properties})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})",[:HAS_KEYWORD],(:Keyword {name: Ferroelectric ceramics})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})",[:HAS_KEYWORD],(:Keyword {name: Lead (geology)})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})",[:HAS_KEYWORD],(:Keyword {name: Lead zirconate titanate})
"(:Author {name: Zhongqin Yang,affiliation_id: 60016521})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Sichuan University,affiliation_id: 60016521})"
"(:Author {name: Zhongqin Yang,affiliation_id: 60016521})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})"
"(:Author {name: Mingyue Mo,affiliation_id: 60016521})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Sichuan University,affiliation_id: 60016521})"
"(:Author {name: Mingyue Mo,affiliation_id: 60016521})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})"
"(:Author {name: Ning Chen,affiliation_id: 60016521})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Sichuan University,affiliation_id: 60016521})"
"(:Author {name: Ning Chen,affiliation_id: 60016521})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})"
"(:Author {name: Ning Chen,affiliation_id: 60016521})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Ultrahigh temperature stability in heterovalent-ion doped PZT ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177686})"
"(:Author {name: Manjing Tang,affiliation_id: 60016521})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Sichuan University,affiliation_id: 60016521})"
"(:Author {name: Manjing Tang,affiliation_id: 60016521})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})"
"(:Author {name: Zhi Tan,affiliation_id: 60016521})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Sichuan University,affiliation_id: 60016521})"
"(:Author {name: Zhi Tan,affiliation_id: 60016521})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})"
"(:Author {name: Jie Xing,affiliation_id: 60016521})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Sichuan University,affiliation_id: 60016521})"
"(:Author {name: Jie Xing,affiliation_id: 60016521})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})"
"(:Author {name: Jie Xing,affiliation_id: 60016521})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Ultrahigh temperature stability in heterovalent-ion doped PZT ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177686})"
"(:Author {name: Jianguo Zhu,affiliation_id: 60016521})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Sichuan University,affiliation_id: 60016521})"
"(:Author {name: Jianguo Zhu,affiliation_id: 60016521})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Enhanced electrical properties of (Bi0.5Na0.5)TiO3-modified BiFeO3-BaTiO3 lead-free ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178322})"
"(:Author {name: Jianguo Zhu,affiliation_id: 60016521})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Ultrahigh temperature stability in heterovalent-ion doped PZT ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177686})"
"(:Author {name: Jianguo Zhu,affiliation_id: 60016521})",[:WROTE],"(:Paper {journal: Ceramics International,year: 2024,title: Mechanical properties and multi-field ferroelastic response of Nb/Mn Co-doped CaBi4Ti4O15 high-temperature ferroelectric ceramics,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.09.406})"
"(:Composition {property_unit: pC/N,composition: 0.999(0.7BiFeO3-0.3BaTiO3)-0.001(Bi0.5Na0.5)TiO3-5 mol%Bi2O3,property_value: 202})",[:BELONGS_TO],(:Family {name: BaTiO3})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:USES_METHOD],"(:Method {name: spin-coating, spontaneous evaporation, forced drying})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:USED_SYNTHESIS_STEPS],"(:Step {steps: - Dissolve equimolar quantity of Lanthanum (III) nitrate and Nickel (II) nitrate in glacial acetic acid, add ethylene glycol and stir for 1 hr
- Dissolve Ti-n butoxide in glacial acetic acid and stir for 1 hr, add ethylene glycol and stir for 1 hr
- Dissolve Lead (II) acetate in glacial acetic acid, add Zirconium (IV) n-butoxide and Titanium (IV) n-butoxide and stir
- Add distilled water and ethylene glycol and stir for 30 mins
- Add polyvinyl pyrrolidone and stir for 1 hr, filter using Whatman filter paper
- Prepare buffer layers (TiO, LNO, LNO/TiO) by spin coating at 4000 rpm for 30 s and anneal at 650 °C for 30 mins
- Deposit PZT film by spin coating at 4000 rpm for 30 s, anneal at 400 °C for 2 mins and 650 °C for 2 mins
- Repeat 12 cycles to achieve ~1000 nm thickness, anneal at 650 °C for 30 mins in open-air furnace})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:BELONGS_TO_FAMILY],(:Family {name: PZT})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:MENTIONS],"(:Composition {property_unit: pm/V,composition: PbZr0.52Ti0.48O3 on Pt,property_value: 80})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:MENTIONS],"(:Composition {property_unit: pm/V,composition: PbZr0.52Ti0.48O3 on Pt/TiO2,property_value: 153})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:MENTIONS],"(:Composition {property_unit: pm/V,composition: PbZr0.52Ti0.48O3 on Pt/LaNiO3/TiO2,property_value: 260})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:MENTIONS],"(:Composition {property_unit: pm/V,composition: PbZr0.52Ti0.48O3 on Pt/LaNiO3,property_value: 156})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:USED_PRECURSOR],(:Precursor {name: Lanthanum (III) nitrate})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:USED_PRECURSOR],(:Precursor {name: Nickel (II) nitrate})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:USED_PRECURSOR],(:Precursor {name: Ti-n butoxide})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:USED_PRECURSOR],(:Precursor {name: Lead (II) acetate})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:USED_PRECURSOR],(:Precursor {name: Zirconium (IV) n-butoxide})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:USED_PRECURSOR],(:Precursor {name: polyvinyl alcohol})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: DC sputtering})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Oscilloscope})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: XRD})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: SEM})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Impedance analyzer})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Modified Sawyer-Tower circuit})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:HAS_KEYWORD],(:Keyword {name: XRD})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:HAS_KEYWORD],(:Keyword {name: Thin film})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:HAS_KEYWORD],(:Keyword {name: Buffer interface})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:HAS_KEYWORD],(:Keyword {name: FESEM})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:HAS_KEYWORD],(:Keyword {name: Piezoelectric properties})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:HAS_KEYWORD],(:Keyword {name: Thermal stability})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})",[:HAS_KEYWORD],(:Keyword {name: Bismuth})
"(:Author {name: Antony Jeyaseelan,affiliation_id: 60103616})",[:AFFILIATED_WITH],"(:Affiliation {country: South Korea,name: Kongju National University,affiliation_id: 60103616})"
"(:Author {name: Antony Jeyaseelan,affiliation_id: 60103616})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})"
"(:Author {name: Sujaya Kumar Vishwanath,affiliation_id: 60014097})",[:AFFILIATED_WITH],"(:Affiliation {country: India,name: Indian Institute of Science,affiliation_id: 60014097})"
"(:Author {name: Sujaya Kumar Vishwanath,affiliation_id: 60014097})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})"
"(:Author {name: Sukeun Yoon,affiliation_id: 60103616})",[:AFFILIATED_WITH],"(:Affiliation {country: South Korea,name: Kongju National University,affiliation_id: 60103616})"
"(:Author {name: Sukeun Yoon,affiliation_id: 60103616})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})"
"(:Author {name: Jihoon Kim,affiliation_id: 60103616})",[:AFFILIATED_WITH],"(:Affiliation {country: South Korea,name: Kongju National University,affiliation_id: 60103616})"
"(:Author {name: Jihoon Kim,affiliation_id: 60103616})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Improving the thermal stability of 180° domain switching by engineering the ferroelectric/electrode interface,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178038})"
"(:Composition {property_unit: pm/V,composition: PbZr0.52Ti0.48O3 on Pt,property_value: 80})",[:BELONGS_TO],(:Family {name: PZT})
"(:Composition {property_unit: pm/V,composition: PbZr0.52Ti0.48O3 on Pt/TiO2,property_value: 153})",[:BELONGS_TO],(:Family {name: PZT})
"(:Composition {property_unit: pm/V,composition: PbZr0.52Ti0.48O3 on Pt/LaNiO3/TiO2,property_value: 260})",[:BELONGS_TO],(:Family {name: PZT})
"(:Composition {property_unit: pm/V,composition: PbZr0.52Ti0.48O3 on Pt/LaNiO3,property_value: 156})",[:BELONGS_TO],(:Family {name: PZT})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Low hysteresis and strong stability of piezoelectric stack actuators based on the Mn-doped Pb (In1/2Nb1/2) O3-Pb (Mg1/3Nb2/3) O3-PbTiO3 single crystal,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178034})",[:USES_METHOD],(:Method {name: SSCG})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Low hysteresis and strong stability of piezoelectric stack actuators based on the Mn-doped Pb (In1/2Nb1/2) O3-Pb (Mg1/3Nb2/3) O3-PbTiO3 single crystal,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178034})",[:USED_SYNTHESIS_STEPS],"(:Step {steps: - Grown along [001] by the modified Bridgman method
- Cut into 6 × 6 × 0.38 mm³ as unit sheets
- Annealed at 600 °C for 4 hours and cleaned
- Deposited ultrathin conductive gold layers with a thickness of 100 nm by sputtering
- Left 0.5 mm wide insulating margins on alternating upper and lower surfaces during electrode plating
- Underwent direct current polarization (DCP) along the [001] direction at 135 °C, 1 kV/mm, and 10 minutes
- Bonded 15 layers of unit sheets using epoxy in an electrical parallel and mechanical series configuration
- Affixed zirconia ceramic sheets with a thickness of 0.5 mm to the top and bottom surfaces
- Subjected to a 5 MPa pressure applied longitudinally using an isostatic press
- Statically cured for 48 hours})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Low hysteresis and strong stability of piezoelectric stack actuators based on the Mn-doped Pb (In1/2Nb1/2) O3-Pb (Mg1/3Nb2/3) O3-PbTiO3 single crystal,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178034})",[:BELONGS_TO_FAMILY],(:Family {name: PbTiO3})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Low hysteresis and strong stability of piezoelectric stack actuators based on the Mn-doped Pb (In1/2Nb1/2) O3-Pb (Mg1/3Nb2/3) O3-PbTiO3 single crystal,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178034})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: 1.0 mol% Mn-doped 0.28Pb(In1/2Nb1/2)O3-0.42Pb(Mg1/3Nb2/3)O3-0.30PbTiO3,property_value: 1161})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Low hysteresis and strong stability of piezoelectric stack actuators based on the Mn-doped Pb (In1/2Nb1/2) O3-Pb (Mg1/3Nb2/3) O3-PbTiO3 single crystal,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178034})",[:USED_PRECURSOR],(:Precursor {name: 1.0 mol% Mn-doped 0.28Pb(In1/2Nb1/2)O3-0.42Pb(Mg1/3Nb2/3)O3-0.30PbTiO3})
